241,（でん粉糖類）　ぶどう糖　無水結晶　　,1.00,3.67,0,0,0.997,1
242,（でん粉糖類）　果糖　　　,1.00,3.68,0,0,0.999,1
243,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,1.00,2.76,0,0,0.75,1
244,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,1.00,2.76,0,0,0.75,1
245,（でん粉糖類）　異性化液糖　高果糖液糖　　,1.00,2.76,0,0,0.75,1
246,（その他）　黒蜜　,1.00,1.99,0.01,0,0.505,1
247,（その他）　はちみつ　,1.00,2.94,0.002,0,0.797,1
248,（その他）　メープルシロップ　　　,1.00,2.57,0.001,0,0.663,1
249,あずき　全粒　乾　　　,1.00,3.39,0.203,0.022,0.587,1
250,あずき　全粒　ゆで　　　,1.00,1.43,0.089,0.01,0.242,1
251,あずき　ゆで小豆缶詰　　　,1.00,2.18,0.044,0.004,0.492,1
252,あずき　あん　こしあん　　,1.00,1.55,0.098,0.006,0.271,1
253,あずき　あん　さらしあん　　,1.00,3.85,0.262,0.01,0.668,1
254,あずき　あん　つぶしあん　　,1.00,2.44,0.056,0.006,0.54,1
255,いんげんまめ　全粒　乾　　　,1.00,3.33,0.199,0.022,0.578,1
256,いんげんまめ　全粒　ゆで　　　,1.00,1.43,0.085,0.01,0.248,1
257,いんげんまめ　うずら豆　,1.00,2.37,0.067,0.013,0.496,1
258,いんげんまめ　こしあん　　　,1.00,1.55,0.094,0.009,0.27,1
259,いんげんまめ　豆きんとん　　　,1.00,2.49,0.049,0.005,0.562,1
260,えんどう　全粒　青えんどう　乾　　,1.00,3.52,0.217,0.023,0.604,1
261,えんどう　全粒　赤えんどう　乾　　,1.00,3.52,0.217,0.023,0.604,1
262,えんどう　全粒　青えんどう　ゆで　　,1.00,1.48,0.092,0.01,0.252,1
263,えんどう　全粒　赤えんどう　ゆで　　,1.00,1.48,0.092,0.01,0.252,1
264,えんどう　グリンピース（揚げ豆）　　　,1.00,4.23,0.208,0.116,0.588,1
265,えんどう　塩豆　　　,1.00,3.64,0.233,0.024,0.615,1
266,えんどう　うぐいす豆　,1.00,2.40,0.056,0.007,0.529,1
267,ささげ　全粒　乾　　　,1.00,3.36,0.239,0.02,0.55,1
268,ささげ　全粒　ゆで　　　,1.00,1.45,0.102,0.009,0.238,1
269,そらまめ　全粒　乾　　　,1.00,3.48,0.26,0.02,0.559,1
270,そらまめ　フライビーンズ　　　,1.00,4.72,0.247,0.208,0.464,1
271,そらまめ　おたふく豆　,1.00,2.51,0.079,0.012,0.522,1
272,そらまめ　ふき豆　,1.00,2.63,0.096,0.016,0.525,1
273,そらまめ　しょうゆ豆　,1.00,1.96,0.098,0.009,0.371,1
274,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,1.00,4.22,0.338,0.197,0.295,1
275,だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,1.00,4.14,0.339,0.181,0.308,1
