261,えんどう　全粒　赤えんどう　乾　　,1.00,3.52,0.217,0.023,0.604
262,えんどう　全粒　青えんどう　ゆで　　,1.00,1.48,0.092,0.01,0.252
263,えんどう　全粒　赤えんどう　ゆで　　,1.00,1.48,0.092,0.01,0.252
264,えんどう　グリンピース（揚げ豆）　　　,1.00,4.23,0.208,0.116,0.588
265,えんどう　塩豆　　　,1.00,3.64,0.233,0.024,0.615
266,えんどう　うぐいす豆　,1.00,2.40,0.056,0.007,0.529
267,ささげ　全粒　乾　　　,1.00,3.36,0.239,0.02,0.55
268,ささげ　全粒　ゆで　　　,1.00,1.45,0.102,0.009,0.238
269,そらまめ　全粒　乾　　　,1.00,3.48,0.26,0.02,0.559
270,そらまめ　フライビーンズ　　　,1.00,4.72,0.247,0.208,0.464
271,そらまめ　おたふく豆　,1.00,2.51,0.079,0.012,0.522
272,そらまめ　ふき豆　,1.00,2.63,0.096,0.016,0.525
273,そらまめ　しょうゆ豆　,1.00,1.96,0.098,0.009,0.371
274,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,1.00,4.22,0.338,0.197,0.295
275,だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,1.00,4.14,0.339,0.181,0.308
276,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,1.00,1.76,0.148,0.098,0.084
277,だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,1.00,4.33,0.33,0.217,0.288
278,だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,1.00,4.22,0.328,0.195,0.308
279,だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,1.00,4.51,0.336,0.226,0.307
280,だいず　［全粒・全粒製品］　いり大豆　黄大豆　,1.00,4.39,0.375,0.216,0.333
281,だいず　［全粒・全粒製品］　いり大豆　黒大豆　,1.00,4.42,0.364,0.22,0.343
282,だいず　［全粒・全粒製品］　いり大豆　青大豆　,1.00,4.35,0.377,0.207,0.339
283,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,1.00,1.40,0.129,0.067,0.077
284,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,1.00,2.05,0.166,0.098,0.138
285,だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,1.00,4.50,0.367,0.257,0.285
286,だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,1.00,4.31,0.37,0.228,0.293
287,だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,1.00,4.51,0.375,0.251,0.295
288,だいず　［全粒・全粒製品］　大豆はいが　　,1.00,4.42,0.378,0.147,0.395
289,だいず　［全粒・全粒製品］　ぶどう豆　,1.00,2.89,0.141,0.094,0.37
290,だいず　［豆腐・油揚げ類］　木綿豆腐　,1.00,0.72,0.066,0.042,0.016
291,だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,1.00,0.56,0.049,0.03,0.02
292,だいず　［豆腐・油揚げ類］　ソフト豆腐　　,1.00,0.59,0.051,0.033,0.02
293,だいず　［豆腐・油揚げ類］　充てん豆腐　　,1.00,0.59,0.05,0.031,0.025
294,だいず　［豆腐・油揚げ類］　沖縄豆腐　　,1.00,1.06,0.091,0.072,0.007
295,だいず　［豆腐・油揚げ類］　ゆし豆腐　　,1.00,0.50,0.043,0.028,0.017
296,だいず　［豆腐・油揚げ類］　焼き豆腐　　,1.00,0.88,0.078,0.057,0.01
297,だいず　［豆腐・油揚げ類］　生揚げ　　,1.00,1.50,0.107,0.113,0.009
298,だいず　［豆腐・油揚げ類］　油揚げ　生　,1.00,4.10,0.234,0.344,0.004
299,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生　,1.00,2.88,0.182,0.234,0
300,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き　,1.00,3.98,0.249,0.322,0.007
301,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで　,1.00,1.77,0.124,0.138,0.003
302,だいず　［豆腐・油揚げ類］　がんもどき　　,1.00,2.28,0.153,0.178,0.016
303,だいず　［豆腐・油揚げ類］　凍り豆腐　乾　,1.00,5.36,0.505,0.341,0.042
